VARIABLES = k,g0,g1,g2,g3,g4,a1,a2,a3,a4
  1.11334746D-07  7.96747373D-02  5.23869989D-04  2.26395097D-05  1.28391640D-03  2.13171234D-02  5.29826143D-05  2.63832240D-03  1.00906462D-01  4.55777755D-01
  1.36266566D-07  8.52815350D-02  5.23869989D-04  2.26735350D-05  1.50824331D-03  2.36291115D-02  1.00848658D-04  4.08710454D-03  1.19960706D-01  4.79094048D-01
  1.66115877D-07  9.00036377D-02  5.23869990D-04  2.27003552D-05  1.68726471D-03  2.55265665D-02  2.16767785D-04  7.38497566D-03  1.56250238D-01  5.22293603D-01
  2.01726786D-07  9.37613925D-02  5.23869990D-04  2.27194809D-05  1.82135979D-03  2.69993935D-02  4.37361553D-04  1.32407710D-02  2.06442469D-01  5.79223754D-01
  2.44067583D-07  1.02974254D-01  5.23934221D-04  8.52859416D-05  5.10437162D-03  3.41894314D-02  8.06580759D-04  2.24516206D-02  2.66272096D-01  6.42366201D-01
  2.94246088D-07  1.12533644D-01  5.24022055D-04  1.63032520D-04  8.87822956D-03  4.20105578D-02  1.36144304D-03  3.55584825D-02  3.31229083D-01  7.04508996D-01
  3.53526541D-07  1.23839293D-01  5.24099683D-04  2.30932151D-04  1.26253234D-02  5.07848713D-02  2.11775362D-03  5.25013589D-02  3.97103002D-01  7.60165878D-01
  4.23348170D-07  1.41672092D-01  5.24204831D-04  3.15420522D-04  1.79307268D-02  6.44793111D-02  3.06402561D-03  7.24871772D-02  4.60296729D-01  8.06256909D-01
  5.05345557D-07  1.63682856D-01  6.79267024D-04  4.18076075D-03  3.46648315D-02  8.58464331D-02  4.16735706D-03  9.41999954D-02  5.18053043D-01  8.41979615D-01
  6.01370944D-07  1.82498123D-01  7.95460318D-04  6.98729223D-03  4.71695621D-02  1.03117054D-01  5.38432553D-03  1.16228009D-01  5.68674321D-01  8.68168095D-01
  7.13518620D-07  1.99342127D-01  8.91344620D-04  9.21172573D-03  5.75711493D-02  1.18257717D-01  6.66353924D-03  1.37375476D-01  6.11507507D-01  8.86483146D-01
  8.44151550D-07  2.14065460D-01  9.59688608D-04  1.08096384D-02  6.56348712D-02  1.30896677D-01  7.93423318D-03  1.56618822D-01  6.46421228D-01  8.98637601D-01
  9.95930395D-07  2.28639506D-01  1.08555898D-03  1.32219150D-02  7.52270046D-02  1.44043846D-01  9.09287889D-03  1.72823102D-01  6.72970982D-01  9.05811610D-01
  1.17184510D-06  2.43521364D-01  1.29626952D-03  1.68374407D-02  8.70200012D-02  1.58100939D-01  1.00091993D-02  1.84611821D-01  6.89951229D-01  9.08452972D-01
  1.37524925D-06  2.57984408D-01  1.53627326D-03  2.08886000D-02  9.96127365D-02  1.72243921D-01  1.05612324D-02  1.90674644D-01  6.95893739D-01  9.06568830D-01
  1.60989730D-06  2.71057492D-01  1.69859458D-03  2.36947584D-02  1.09121994D-01  1.84158478D-01  1.06844430D-02  1.90389205D-01  6.90296094D-01  9.00338299D-01
  1.87998501D-06  2.83372640D-01  1.85241517D-03  2.63590759D-02  1.18246410D-01  1.95447797D-01  1.04050520D-02  1.84318068D-01  6.74688551D-01  8.90640135D-01
